   20   22     0     0  con    0  1.0D+00  1.4D-01  1.375D-03  2.050D+00
   21   23     0     0  con    0  1.0D+00  4.0D-01  3.067D-03  2.050D+00
   22   24     0     0  con    0  1.0D+00  6.8D-01  5.735D-03  2.049D+00
   23   26     0     0  con    1  4.5D-01  7.8D-01  1.318D-02  2.049D+00
   24   27     0     0  con    0  1.0D+00  1.2D+00  4.710D-03  2.049D+00
   25   28     0     0  con    0  1.0D+00  2.9D-01  5.941D-03  2.049D+00
   26   29     0     0  con    0  1.0D+00  1.6D-01  2.033D-03  2.049D+00
   27   30     0     0  con    0  1.0D+00  3.3D-01  7.631D-04  2.049D+00
   28   31     0     0  con    0  1.0D+00  7.2D-01  1.824D-03  2.048D+00
   29   32     0     0  con    0  1.0D+00  1.2D+00  2.566D-03  2.048D+00
   30   33     0     0  con    0  1.0D+00  2.0D+00  3.157D-03  2.048D+00
   31   34     0     0  con    0  1.0D+00  8.5D-01  9.124D-04  2.048D+00
   32   35     0     0  con    0  1.0D+00  1.3D+00  5.626D-04  2.048D+00
   33   36     0     0  con    0  1.0D+00  1.6D+00  7.706D-04  2.048D+00
   34   38     0     0  con    1  3.0D-01  6.8D-01  8.075D-04  2.048D+00
   35   39     0     0  con    0  1.0D+00  2.2D+00  3.100D-04  2.048D+00
   36   40     0     0  con    0  1.0D+00  2.5D+00  1.408D-04  2.048D+00
   37   41     0     0  con    0  1.0D+00  2.5D+00  2.188D-04  2.048D+00
   38   43     0     0  con    1  1.9D-01  9.6D-01  4.400D-04  2.048D+00
   39   44     0     0  con    0  1.0D+00  3.0D+00  1.767D-04  2.048D+00
   40   45     0     0  con    0  1.0D+00  3.7D+00  3.329D-05  2.048D+00
   41   46     0     0  con    0  1.0D+00  5.8D+00  5.648D-05  2.048D+00
   42   48     0     0  con    1  1.9D-01  8.3D-01  1.213D-04  2.048D+00
   43   49     0     0  con    0  1.0D+00  4.9D+00  1.512D-04  2.048D+00
   44   53     0     0  con    3  1.4D+00  1.2D+01  1.977D-04  2.048D+00
   45   55     0     0  con    1  3.0D-01  9.3D-02  4.323D-05  2.048D+00
   46   58     0     0  con    2  9.1D-02  4.1D-01  6.192D-05  2.048D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.086D+02  4.906D+01
    1    2     1     0  ---    0  3.2D-03  1.0D+00  2.860D+00  3.505D+00
    2    4     0     0  con    1  5.0D+00  6.1D-02  2.390D+00  3.290D+00
    3    5     0     0  con    0  1.0D+00  3.5D-01  8.717D-01  2.541D+00
    4    6     0     0  con    0  1.0D+00  2.6D-01  4.025D-01  2.290D+00
    5    7     0     0  con    0  1.0D+00  3.3D-01  1.934D-01  2.141D+00
    6    8     0     0  con    0  1.0D+00  2.5D-01  9.479D-02  2.101D+00
    7    9     0     0  con    0  1.0D+00  1.8D-01  6.893D-02  2.086D+00
    8   10     0     0  con    0  1.0D+00  4.0D-01  4.685D-02  2.066D+00
    9   11     0     0  con    0  1.0D+00  5.0D-01  1.239D-01  2.052D+00
   10   13     0     0  con    1  3.8D-01  3.7D-01  5.040D-02  2.045D+00
   11   14     0     0  con    0  1.0D+00  1.7D-01  3.488D-02  2.043D+00
   12   15     0     0  con    0  1.0D+00  3.6D-01  3.028D-02  2.040D+00
   13   16     0     0  con    0  1.0D+00  4.0D-01  2.592D-02  2.038D+00
   14   17     0     0  con    0  1.0D+00  4.9D-01  4.647D-02  2.035D+00
   15   18     0     0  con    0  1.0D+00  1.0D+00  8.912D-02  2.033D+00
   16   19     0     0  con    0  1.0D+00  1.2D-01  1.405D-02  2.032D+00
   17   20     0     0  con    0  1.0D+00  2.3D-01  1.372D-02  2.031D+00
   18   21     0     0  con    0  1.0D+00  6.2D-01  1.490D-02  2.031D+00
   19   22     0     0  con    0  1.0D+00  2.2D-01  4.168D-03  2.031D+00
   20   23     0     0  con    0  1.0D+00  2.3D-01  4.159D-03  2.031D+00
   21   24     0     0  con    0  1.0D+00  4.4D-01  9.790D-03  2.031D+00
   22   25     0     0  con    0  1.0D+00  7.6D-01  8.101D-03  2.031D+00
   23   26     0     0  con    0  1.0D+00  9.4D-01  1.642D-03  2.031D+00
   24   27     0     0  con    0  1.0D+00  8.0D-01  1.129D-03  2.031D+00
   25   28     0     0  con    0  1.0D+00  1.1D+00  7.774D-03  2.031D+00
   26   29     0     0  con    0  1.0D+00  4.0D-01  2.512D-03  2.031D+00
   27   30     0     0  con    0  1.0D+00  7.8D-01  1.733D-03  2.031D+00
   28   31     0     0  con    0  1.0D+00  9.9D-01  3.088D-03  2.031D+00
   29   32     0     0  con    0  1.0D+00  1.5D+00  1.597D-03  2.031D+00
   30   33     0     0  con    0  1.0D+00  1.7D+00  1.975D-04  2.031D+00
   31   34     0     0  con    0  1.0D+00  1.6D+00  5.756D-04  2.031D+00
   32   35     0     0  con    0  1.0D+00  2.2D+00  5.126D-04  2.031D+00
   33   37     0     0  con    1  5.2D-02  2.5D-01  4.436D-04  2.031D+00
   34   38     0     0  con    0  1.0D+00  2.4D+00  1.968D-04  2.031D+00
   35   39     0     0  con    0  1.0D+00  3.6D+00  4.199D-04  2.031D+00
   36   40     0     0  con    0  1.0D+00  2.0D+00  1.406D-04  2.031D+00
   37   41     0     0  con    0  1.0D+00  3.5D+00  2.208D-05  2.031D+00
   38   42     0     0  con    0  1.0D+00  4.4D+00  3.111D-04  2.031D+00
   39   43     0     0  con    0  1.0D+00  8.0D+00  8.170D-04  2.031D+00
   40   44     0     0  con    0  1.0D+00  6.5D-01  1.440D-04  2.031D+00
   41   45     0     0  con    0  1.0D+00  6.1D+00  3.002D-04  2.031D+00
   42   57     0     0  con   11  5.9D-07  3.5D-05  3.002D-04  2.031D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Warning:  more than 10 function and gradient
   evaluations in the last line search.  Termination
   may possibly be caused by a bad search direction.

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.405D+02  5.411D+01
    1    2     1     0  ---    0  2.8D-03  1.0D+00  2.802D+00  3.437D+00
    2    4     0     0  con    1  5.0D+00  5.7D-02  2.359D+00  3.231D+00
    3    5     0     0  con    0  1.0D+00  3.2D-01  9.316D-01  2.542D+00
    4    6     0     0  con    0  1.0D+00  2.4D-01  4.512D-01  2.303D+00
    5    7     0     0  con    0  1.0D+00  3.2D-01  1.603D-01  2.158D+00
    6    8     0     0  con    0  1.0D+00  2.2D-01  9.257D-02  2.122D+00
    7    9     0     0  con    0  1.0D+00  2.0D-01  7.835D-02  2.104D+00
    8   10     0     0  con    0  1.0D+00  3.7D-01  6.757D-02  2.087D+00
    9   11     0     0  con    0  1.0D+00  3.2D-01  7.849D-02  2.073D+00
   10   12     0     0  con    0  1.0D+00  4.0D-01  1.279D-01  2.063D+00
   11   13     0     0  con    0  1.0D+00  2.7D-01  8.150D-02  2.050D+00
   12   14     0     0  con    0  1.0D+00  4.8D-01  1.545D-01  2.041D+00
   13   15     0     0  con    0  1.0D+00  1.3D-01  9.215D-02  2.039D+00
   14   16     0     0  con    0  1.0D+00  8.3D-02  3.745D-02  2.037D+00
   15   17     0     0  con    0  1.0D+00  1.1D-01  2.190D-02  2.036D+00
   16   18     0     0  con    0  1.0D+00  2.6D-01  4.284D-02  2.034D+00
   17   19     0     0  con    0  1.0D+00  4.6D-01  2.523D-02  2.031D+00
   18   20     0     0  con    0  1.0D+00  5.6D-01  2.272D-02  2.029D+00
   19   21     0     0  con    0  1.0D+00  7.2D-01  1.973D-02  2.027D+00
   20   22     0     0  con    0  1.0D+00  8.2D-01  2.578D-02  2.026D+00
   21   23     0     0  con    0  1.0D+00  7.0D-01  2.211D-02  2.025D+00
   22   24     0     0  con    0  1.0D+00  3.0D-01  1.621D-02  2.025D+00
   23   25     0     0  con    0  1.0D+00  2.1D-01  4.841D-03  2.025D+00
   24   26     0     0  con    0  1.0D+00  2.3D-01  4.208D-03  2.025D+00
   25   27     0     0  con    0  1.0D+00  1.8D-01  4.491D-03  2.025D+00
   26   28     0     0  con    0  1.0D+00  9.0D-01  4.280D-03  2.025D+00
   27   29     0     0  con    0  1.0D+00  1.3D+00  3.874D-03  2.024D+00
   28   30     0     0  con    0  1.0D+00  1.0D+00  7.579D-04  2.024D+00
   29   31     0     0  con    0  1.0D+00  9.4D-01  8.784D-04  2.024D+00
   30   32     0     0  con    0  1.0D+00  1.3D+00  7.063D-04  2.024D+00
   31   33     0     0  con    0  1.0D+00  1.8D+00  2.772D-03  2.024D+00
   32   34     0     0  con    0  1.0D+00  1.4D+00  4.215D-04  2.024D+00
   33   35     0     0  con    0  1.0D+00  1.5D+00  4.112D-04  2.024D+00
   34   36     0     0  con    0  1.0D+00  2.0D+00  1.975D-03  2.024D+00
   35   37     0     0  con    0  1.0D+00  1.7D+00  8.301D-04  2.024D+00
   36   38     0     0  con    0  1.0D+00  1.3D+00  7.269D-04  2.024D+00
   37   39     0     0  con    0  1.0D+00  3.6D+00  3.432D-04  2.024D+00
   38   40     0     0  con    0  1.0D+00  3.2D+00  2.691D-04  2.024D+00
   39   41     0     0  con    0  1.0D+00  4.7D+00  2.402D-04  2.024D+00
   40   42     0     0  con    0  1.0D+00  2.7D+00  1.630D-04  2.024D+00
   41   43     0     0  con    0  1.0D+00  1.0D+01  1.405D-04  2.024D+00
   42   44     0     0  con    0  1.0D+00  7.7D+00  1.266D-04  2.024D+00
   43   46     0     0  con    1  3.7D-01  6.9D-01  6.015D-05  2.024D+00
   44   47     0     0  con    0  1.0D+00  6.6D-01  2.946D-05  2.024D+00
   45   51     0     0  con    3  1.2D-02  1.3D-01  3.612D-05  2.024D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.040D+02  3.252D+01
    1    2     1     0  ---    0  4.8D-03  1.0D+00  1.777D+00  2.814D+00
    2    4     0     0  con    1  5.0D+00  5.5D-02  1.502D+00  2.700D+00
    3    5     0     0  con    0  1.0D+00  3.2D-01  5.584D-01  2.297D+00
    4    6     0     0  con    0  1.0D+00  2.2D-01  2.677D-01  2.177D+00
    5    7     0     0  con    0  1.0D+00  2.5D-01  1.340D-01  2.112D+00
    6    8     0     0  con    0  1.0D+00  2.1D-01  7.474D-02  2.087D+00
    7    9     0     0  con    0  1.0D+00  2.3D-01  4.385D-02  2.075D+00
    8   10     0     0  con    0  1.0D+00  3.8D-01  1.016D-01  2.068D+00
    9   11     0     0  con    0  1.0D+00  2.3D-01  1.275D-01  2.062D+00
   10   12     0     0  con    0  1.0D+00  1.1D-01  3.285D-02  2.059D+00
   11   13     0     0  con    0  1.0D+00  3.9D-01  1.351D-01  2.056D+00
   12   14     0     0  con    0  1.0D+00  1.6D-01  2.431D-02  2.054D+00
   13   15     0     0  con    0  1.0D+00  4.4D-01  1.045D-01  2.052D+00
   14   16     0     0  con    0  1.0D+00  3.0D-01  2.117D-02  2.051D+00
   15   17     0     0  con    0  1.0D+00  1.5D-01  1.853D-02  2.051D+00
   16   18     0     0  con    0  1.0D+00  3.1D-01  1.897D-02  2.050D+00
   17   19     0     0  con    0  1.0D+00  4.9D-01  1.793D-02  2.049D+00
   18   20     0     0  con    0  1.0D+00  6.2D-01  3.535D-02  2.049D+00
   19   21     0     0  con    0  1.0D+00  3.5D-01  4.424D-02  2.049D+00
   20   22     0     0  con    0  1.0D+00  2.1D-01  1.890D-03  2.049D+00
   21   23     0     0  con    0  1.0D+00  1.0D-01  3.823D-03  2.049D+00
   22   24     0     0  con    0  1.0D+00  8.9D-02  1.976D-03  2.049D+00
   23   25     0     0  con    0  1.0D+00  1.0D-01  3.399D-03  2.049D+00
   24   26     0     0  con    0  1.0D+00  1.9D-01  9.006D-03  2.049D+00
   25   27     0     0  con    0  1.0D+00  3.5D-01  1.555D-02  2.049D+00
   26   28     0     0  con    0  1.0D+00  6.8D-01  1.928D-02  2.049D+00
   27   29     0     0  con    0  1.0D+00  1.1D+00  7.916D-03  2.049D+00
   28   30     0     0  con    0  1.0D+00  1.7D+00  5.255D-03  2.048D+00
   29   31     0     0  con    0  1.0D+00  2.8D-01  7.234D-03  2.048D+00
   30   32     0     0  con    0  1.0D+00  6.7D-02  1.285D-03  2.048D+00
   31   34     0     0  con    1  2.6D-01  5.6D-02  5.200D-03  2.048D+00
   32   35     0     0  con    0  1.0D+00  1.7D-01  3.511D-03  2.048D+00
   33   36     0     0  con    0  1.0D+00  6.4D-01  6.389D-04  2.048D+00
   34   37     0     0  con    0  1.0D+00  4.7D-01  8.806D-04  2.048D+00
   35   38     0     0  con    0  1.0D+00  1.2D+00  1.935D-03  2.048D+00
   36   39     0     0  con    0  1.0D+00  1.7D+00  1.513D-03  2.048D+00
   37   40     0     0  con    0  1.0D+00  1.8D+00  4.075D-04  2.048D+00
   38   41     0     0  con    0  1.0D+00  1.7D+00  9.988D-04  2.048D+00
   39   42     0     0  con    0  1.0D+00  2.5D+00  2.059D-04  2.048D+00
   40   43     0     0  con    0  1.0D+00  2.5D+00  4.388D-04  2.048D+00
   41   45     0     0  con    1  4.1D-01  1.2D+00  9.346D-04  2.048D+00
   42   46     0     0  con    0  1.0D+00  2.1D+00  1.351D-03  2.048D+00
   43   47     0     0  con    0  1.0D+00  2.4D+00  1.599D-04  2.048D+00
   44   48     0     0  con    0  1.0D+00  4.9D+00  5.534D-04  2.048D+00
   45   49     0     0  con    0  1.0D+00  2.5D+00  4.353D-04  2.048D+00
   46   50     0     0  con    0  1.0D+00  2.0D+00  3.817D-05  2.048D+00
   47   51     0     0  con    0  1.0D+00  1.2D+00  1.802D-05  2.048D+00
   48   59     0     0  con    7  3.1D-08  2.4D-08  1.802D-05  2.048D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.227D+02  3.548D+01
    1    2     1     0  ---    0  4.4D-03  1.0D+00  1.753D+00  2.779D+00
    2    4     0     0  con    1  5.0D+00  5.3D-02  1.484D+00  2.663D+00
    3    5     0     0  con    0  1.0D+00  2.8D-01  6.114D-01  2.296D+00
    4    6     0     0  con    0  1.0D+00  1.8D-01  3.263D-01  2.190D+00
    5    7     0     0  con    0  1.0D+00  2.2D-01  1.272D-01  2.131D+00
    6    8     0     0  con    0  1.0D+00  2.1D-01  7.919D-02  2.106D+00
    7    9     0     0  con    0  1.0D+00  2.7D-01  4.877D-02  2.089D+00
    8   10     0     0  con    0  1.0D+00  4.8D-01  8.932D-02  2.081D+00
    9   11     0     0  con    0  1.0D+00  1.3D-01  7.360D-02  2.068D+00
   10   12     0     0  con    0  1.0D+00  3.0D-01  5.204D-02  2.057D+00
   11   13     0     0  con    0  1.0D+00  4.4D-01  1.010D-01  2.048D+00
   12   15     0     0  con    1  1.3D-01  9.4D-02  4.677D-02  2.046D+00
   13   16     0     0  con    0  1.0D+00  2.3D-01  4.452D-02  2.044D+00
   14   17     0     0  con    0  1.0D+00  1.0D-01  2.921D-02  2.042D+00
   15   18     0     0  con    0  1.0D+00  2.2D-01  2.763D-02  2.040D+00
   16   19     0     0  con    0  1.0D+00  4.4D-01  2.406D-02  2.037D+00
   17   20     0     0  con    0  1.0D+00  6.6D-01  1.350D-01  2.035D+00
   18   21     0     0  con    0  1.0D+00  7.7D-01  1.636D-01  2.034D+00
   19   22     0     0  con    0  1.0D+00  2.6D-01  1.359D-02  2.034D+00
   20   23     0     0  con    0  1.0D+00  2.8D-01  2.263D-02  2.034D+00
   21   24     0     0  con    0  1.0D+00  4.3D-01  1.844D-02  2.033D+00
   22   25     0     0  con    0  1.0D+00  7.0D-01  3.344D-02  2.033D+00
   23   26     0     0  con    0  1.0D+00  9.8D-02  4.680D-03  2.033D+00
   24   27     0     0  con    0  1.0D+00  1.7D-01  3.015D-03  2.033D+00
   25   28     0     0  con    0  1.0D+00  2.3D-01  6.147D-03  2.033D+00
   26   29     0     0  con    0  1.0D+00  2.1D-01  5.364D-03  2.033D+00
   27   30     0     0  con    0  1.0D+00  8.4D-01  7.592D-03  2.033D+00
   28   32     0     0  con    1  1.3D-01  6.2D-01  7.720D-03  2.033D+00
   29   33     0     0  con    0  1.0D+00  1.3D+00  5.417D-03  2.033D+00
   30   35     0     0  con    1  2.4D-02  3.4D-02  9.625D-03  2.033D+00
   31   36     0     0  con    0  1.0D+00  1.0D+00  3.499D-03  2.033D+00
   32   37     0     0  con    0  1.0D+00  3.7D-01  1.351D-03  2.033D+00
   33   38     0     0  con    0  1.0D+00  2.0D-01  7.232D-04  2.033D+00
   34   39     0     0  con    0  1.0D+00  8.5D-01  1.089D-03  2.033D+00
   35   40     0     0  con    0  1.0D+00  1.1D+00  1.931D-03  2.033D+00
   36   41     0     0  con    0  1.0D+00  3.0D+00  1.014D-02  2.033D+00
   37   42     0     0  con    0  1.0D+00  4.7D-01  2.893D-03  2.033D+00
   38   43     0     0  con    0  1.0D+00  1.3D+00  4.412D-04  2.033D+00
   39   44     0     0  con    0  1.0D+00  1.5D+00  1.089D-03  2.033D+00
   40   45     0     0  con    0  1.0D+00  2.5D+00  7.044D-04  2.033D+00
   41   47     0     0  con    1  1.0D-01  3.4D-01  1.840D-03  2.033D+00
   42   48     0     0  con    0  1.0D+00  2.8D+00  3.831D-04  2.033D+00
   43   49     0     0  con    0  1.0D+00  3.7D+00  2.488D-04  2.033D+00
   44   51     0     0  con    1  2.7D-01  1.6D+00  6.017D-04  2.033D+00
   45   52     0     0  con    0  1.0D+00  2.8D+00  2.269D-04  2.033D+00
   46   53     0     0  con    0  1.0D+00  3.0D+00  1.300D-04  2.033D+00
   47   54     0     0  con    0  1.0D+00  4.8D+00  2.097D-04  2.033D+00
   48   56     0     0  con    1  2.7D-01  1.2D+00  4.516D-04  2.033D+00
   49   59     0     0  con    2  1.1D-01  9.4D-01  5.999D-04  2.033D+00
   50   60     0     0  con    0  1.0D+00  2.6D-01  1.721D-04  2.033D+00
   51   62     0     0  con    1  5.0D-01  1.4D+00  4.413D-04  2.033D+00
   52   63     0     0  con    0  1.0D+00  2.0D-01  1.093D-04  2.033D+00

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.108D+02  3.360D+01
    1    2     1     0  ---    0  4.7D-03  1.0D+00  1.796D+00  2.821D+00
    2    4     0     0  con    1  5.0D+00  5.4D-02  1.520D+00  2.706D+00
    3    5     0     0  con    0  1.0D+00  3.2D-01  5.694D-01  2.301D+00
    4    6     0     0  con    0  1.0D+00  2.2D-01  2.712D-01  2.178D+00
    5    7     0     0  con    0  1.0D+00  2.4D-01  1.371D-01  2.113D+00
    6    8     0     0  con    0  1.0D+00  2.3D-01  7.279D-02  2.088D+00
    7    9     0     0  con    0  1.0D+00  2.9D-01  1.769D-01  2.083D+00
    8   10     0     0  con    0  1.0D+00  7.3D-02  4.320D-02  2.074D+00
    9   11     0     0  con    0  1.0D+00  7.2D-02  4.864D-02  2.072D+00
   10   12     0     0  con    0  1.0D+00  2.3D-01  5.164D-02  2.066D+00
   11   13     0     0  con    0  1.0D+00  3.7D-01  1.240D-01  2.061D+00
   12   14     0     0  con    0  1.0D+00  3.5D-01  7.993D-02  2.055D+00
   13   15     0     0  con    0  1.0D+00  4.7D-01  2.532D-02  2.052D+00
   14   16     0     0  con    0  1.0D+00  2.7D-01  4.528D-02  2.051D+00
   15   17     0     0  con    0  1.0D+00  2.9D-01  7.902D-02  2.050D+00
   16   18     0     0  con    0  1.0D+00  4.9D-01  9.397D-02  2.049D+00
   17   19     0     0  con    0  1.0D+00  2.5D-01  1.456D-02  2.048D+00
   18   20     0     0  con    0  1.0D+00  2.1D-01  1.494D-02  2.048D+00
   19   21     0     0  con    0  1.0D+00  2.1D-01  1.164D-02  2.048D+00
   20   22     0     0  con    0  1.0D+00  4.0D-01  1.327D-02  2.048D+00
   21   23     0     0  con    0  1.0D+00  9.8D-01  1.464D-02  2.047D+00
   22   24     0     0  con    0  1.0D+00  5.5D+00  2.196D-01  2.043D+00
   23   25     0     0  con    0  1.0D+00  2.0D-01  4.577D-01  2.042D+00
   24   26     0     0  con    0  1.0D+00  9.7D-01  2.070D-01  2.040D+00
   25   28     0     0  con    1  2.3D-01  1.5D+00  2.013D-01  2.039D+00
   26   29     0     0  con    0  1.0D+00  5.0D-01  4.299D-02  2.038D+00
   27   30     0     0  con    0  1.0D+00  2.7D+00  1.502D-01  2.035D+00
   28   31     0     0  con    0  1.0D+00  3.3D+00  4.943D-01  2.032D+00
   29   33     0     0  con    1  4.7D-01  1.9D+00  3.156D-01  2.030D+00
   30   34     0     0  con    0  1.0D+00  3.6D+00  3.004D-01  2.030D+00
   31   35     0     0  con    0  1.0D+00  5.1D+00  7.309D-02  2.027D+00
   32   36     0     0  con    0  1.0D+00  2.4D+00  1.117D-01  2.027D+00
   33   37     0     0  con    0  1.0D+00  1.2D+00  3.887D-02  2.026D+00
   34   38     0     0  con    0  1.0D+00  2.6D+00  1.712D-01  2.026D+00
   35   39     0     0  con    0  1.0D+00  2.4D-01  6.994D-01  2.025D+00
   36   40     0     0  con    0  1.0D+00  3.1D-01  4.183D-02  2.025D+00
   37   41     0     0  con    0  1.0D+00  8.1D-01  3.050D-02  2.025D+00
   38   42     0     0  con    0  1.0D+00  6.6D-01  1.081D-01  2.025D+00
   39   43     0     0  con    0  1.0D+00  1.2D+00  1.707D-01  2.024D+00
   40   44     0     0  con    0  1.0D+00  1.6D+00  1.487D-01  2.024D+00
   41   46     0     0  con    1  4.9D-01  1.0D+00  5.932D-01  2.023D+00
   42   47     0     0  con    0  1.0D+00  5.1D-01  6.171D-01  2.023D+00
   43   48     0     0  con    0  1.0D+00  1.4D+00  3.244D-01  2.022D+00
   44   49     0     0  con    0  1.0D+00  1.6D+00  1.291D-02  2.022D+00
   45   50     0     0  con    0  1.0D+00  5.1D-01  2.699D-02  2.022D+00
   46   52     0     0  con    1  1.2D-01  7.9D-02  1.069D-01  2.022D+00
   47   53     0     0  con    0  1.0D+00  6.4D-01  4.646D-03  2.022D+00
   48   54     0     0  con    0  1.0D+00  1.8D-01  4.652D-03  2.022D+00
   49   55     0     0  con    0  1.0D+00  1.9D-02  7.543D-04  2.022D+00
   50   56     0     0  con    0  1.0D+00  8.7D-03  1.755D-04  2.022D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.302D+02  3.667D+01
    1    2     1     0  ---    0  4.2D-03  1.0D+00  1.772D+00  2.786D+00
    2    4     0     0  con    1  5.0D+00  5.2D-02  1.503D+00  2.669D+00
    3    5     0     0  con    0  1.0D+00  2.8D-01  6.251D-01  2.299D+00
    4    6     0     0  con    0  1.0D+00  1.8D-01  3.354D-01  2.193D+00
    5    7     0     0  con    0  1.0D+00  2.2D-01  1.316D-01  2.132D+00
    6    8     0     0  con    0  1.0D+00  2.1D-01  7.856D-02  2.106D+00
    7    9     0     0  con    0  1.0D+00  2.6D-01  5.127D-02  2.090D+00
    8   11     0     0  con    1  4.9D-01  2.5D-01  7.130D-02  2.082D+00
    9   12     0     0  con    0  1.0D+00  2.3D-01  7.636D-02  2.073D+00
   10   13     0     0  con    0  1.0D+00  4.1D-01  1.182D-01  2.061D+00
   11   14     0     0  con    0  1.0D+00  4.6D-01  2.619D-01  2.054D+00
   12   15     0     0  con    0  1.0D+00  8.2D-02  1.258D-01  2.049D+00
   13   16     0     0  con    0  1.0D+00  5.9D-02  4.202D-02  2.046D+00
   14   17     0     0  con    0  1.0D+00  1.5D-01  4.421D-02  2.044D+00
   15   18     0     0  con    0  1.0D+00  7.6D-02  5.565D-02  2.043D+00
   16   19     0     0  con    0  1.0D+00  3.6D-01  2.011D-02  2.039D+00
   17   20     0     0  con    0  1.0D+00  4.3D-01  5.156D-02  2.037D+00
   18   21     0     0  con    0  1.0D+00  6.5D-01  1.293D-01  2.035D+00
   19   22     0     0  con    0  1.0D+00  7.8D-01  1.680D-01  2.034D+00
   20   23     0     0  con    0  1.0D+00  1.3D-01  1.045D-02  2.034D+00
   21   24     0     0  con    0  1.0D+00  2.7D-01  3.100D-02  2.034D+00
   22   25     0     0  con    0  1.0D+00  2.7D-01  2.682D-02  2.034D+00
   23   26     0     0  con    0  1.0D+00  2.2D-01  1.549D-02  2.033D+00
   24   27     0     0  con    0  1.0D+00  3.4D-01  1.951D-02  2.033D+00
   25   28     0     0  con    0  1.0D+00  4.5D-01  2.575D-02  2.033D+00
   26   29     0     0  con    0  1.0D+00  6.7D-01  1.156D-02  2.033D+00
   27   30     0     0  con    0  1.0D+00  6.8D-01  3.715D-03  2.033D+00
